"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\api\translation_call.tsx", "TypeScript JSX", -2, 0, 0, -2
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\app.tsx", "TypeScript JSX", 19, 9, 28, 56
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\context\last_activity.tsx", "TypeScript JSX", -17, 0, -2, -19
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\database\local_database.tsx", "TypeScript JSX", 31, 0, 19, 50
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\game\game _logic\game_logic.tsx", "TypeScript JSX", 9, 1, 12, 22
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\game\game_start_screen.tsx", "TypeScript JSX", 26, 1, 13, 40
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\game\vocabgame.tsx", "TypeScript JSX", 112, 13, 38, 163
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\premium\premium_checks.tsx", "TypeScript JSX", 29, 1, 13, 43
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\premium\upgrade_overlay.tsx", "TypeScript JSX", 128, 4, 34, 166
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\account\account.tsx", "TypeScript JSX", 44, 1, 6, 51
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\home\hometab_stack\homescreen.tsx", "TypeScript JSX", -10, 0, -8, -18
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\home\hometab_stack\search_results\results_table.tsx", "TypeScript JSX", 1, 0, 0, 1
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\home\hometab_stack\search_results\search_results.tsx", "TypeScript JSX", 11, 0, 2, 13
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\home\hometab_stack\table\table_template_home.tsx", "TypeScript JSX", 20, 0, 17, 37
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\home\translate.tsx", "TypeScript JSX", 59, 4, 20, 83
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\home\vocab_search.tsx", "TypeScript JSX", -16, 0, -12, -28
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\login\create_account.tsx", "TypeScript JSX", 10, 0, 5, 15
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\login\login_screen.tsx", "TypeScript JSX", 14, 0, 0, 14
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\manage_projects\choose_project.tsx", "TypeScript JSX", 26, 2, 8, 36
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\manage_projects\project_table_template.tsx", "TypeScript JSX", 0, 0, -3, -3
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\manage_projects\project_view.tsx", "TypeScript JSX", 30, 0, 12, 42
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\shared\text_input.tsx", "TypeScript JSX", 13, 0, 6, 19
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\shared\upgrade_banner.tsx", "TypeScript JSX", 10, 1, 3, 14
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\shared\view_full_text.tsx", "TypeScript JSX", -1, 0, 0, -1
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\storage\app_settings_storage.tsx", "TypeScript JSX", 119, 9, 79, 207
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\types\types.d.tsx", "TypeScript JSX", 13, 0, 4, 17
"Total", "-", 678, 46, 294, 1018