"filename", "language", "TypeScript JSX", "JSON", "comment", "blank", "total"
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\api\last_activity_data.tsx", "TypeScript JSX", 0, 0, 0, 1, 1
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\api\translation_call.tsx", "TypeScript JSX", 65, 0, 3, 23, 91
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\app.tsx", "TypeScript JSX", 199, 0, 38, 143, 380
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\context\current_user.tsx", "TypeScript JSX", 3, 0, 1, 3, 7
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\context\current_user_database.tsx", "TypeScript JSX", 3, 0, 1, 3, 7
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\context\default_app_settings_context.tsx", "TypeScript JSX", 12, 0, 1, 8, 21
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\context\dimensions.tsx", "TypeScript JSX", 8, 0, 2, 9, 19
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\context\edit_text_context.tsx", "TypeScript JSX", 9, 0, 1, 6, 16
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\context\last_activity.tsx", "TypeScript JSX", 3, 0, 1, 3, 7
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\context\loading.tsx", "TypeScript JSX", 4, 0, 1, 3, 8
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\context\loggedIn.tsx", "TypeScript JSX", 4, 0, 1, 3, 8
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\context\options_context.tsx", "TypeScript JSX", 8, 0, 1, 4, 13
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\context\swipe_toggle.tsx", "TypeScript JSX", 4, 0, 1, 3, 8
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\context\view_full_text_context.tsx", "TypeScript JSX", 15, 0, 1, 7, 23
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\database\local_database.tsx", "TypeScript JSX", 264, 0, 1, 111, 376
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\game\game _logic\game_logic.tsx", "TypeScript JSX", 172, 0, 29, 123, 324
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\game\game_start_screen.tsx", "TypeScript JSX", 385, 0, 21, 203, 609
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\game\gamestack.tsx", "TypeScript JSX", 104, 0, 2, 24, 130
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\game\loading_screen .tsx", "TypeScript JSX", 34, 0, 1, 11, 46
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\game\vocabgame.tsx", "TypeScript JSX", 497, 0, 33, 144, 674
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\premium\premium_checks.tsx", "TypeScript JSX", 28, 0, 1, 12, 41
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\premium\upgrade_overlay.tsx", "TypeScript JSX", 135, 0, 4, 35, 174
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\routes\drawer.tsx", "TypeScript JSX", 143, 0, 3, 56, 202
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\routes\homestack.tsx", "TypeScript JSX", 39, 0, 1, 13, 53
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\routes\login_stack.tsx", "TypeScript JSX", 19, 0, 1, 9, 29
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\routes\manage_projects_stack.tsx", "TypeScript JSX", 28, 0, 1, 10, 39
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\about\about.tsx", "TypeScript JSX", 44, 0, 1, 25, 70
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\account\account.tsx", "TypeScript JSX", 377, 0, 19, 113, 509
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\home\hometab_stack\components\activity_content.tsx", "TypeScript JSX", 48, 0, 1, 14, 63
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\home\hometab_stack\components\default_content.tsx", "TypeScript JSX", 35, 0, 1, 17, 53
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\home\hometab_stack\game_settings.tsx", "TypeScript JSX", 75, 0, 2, 28, 105
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\home\hometab_stack\homebottomtab.tsx", "TypeScript JSX", 74, 0, 1, 26, 101
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\home\hometab_stack\homescreen.tsx", "TypeScript JSX", 67, 0, 5, 30, 102
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\home\hometab_stack\search_results\results_row.tsx", "TypeScript JSX", 188, 0, 6, 54, 248
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\home\hometab_stack\search_results\results_table.tsx", "TypeScript JSX", 224, 0, 10, 65, 299
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\home\hometab_stack\search_results\search_results.tsx", "TypeScript JSX", 115, 0, 1, 24, 140
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\home\hometab_stack\table\row_template_home.tsx", "TypeScript JSX", 107, 0, 2, 35, 144
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\home\hometab_stack\table\table_template_home.tsx", "TypeScript JSX", 121, 0, 5, 52, 178
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\home\translate.tsx", "TypeScript JSX", 411, 0, 21, 184, 616
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\home\vocab_search.tsx", "TypeScript JSX", 160, 0, 4, 72, 236
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\login\components\signupscreen_template.tsx", "TypeScript JSX", 63, 0, 1, 25, 89
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\login\create_account.tsx", "TypeScript JSX", 223, 0, 9, 67, 299
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\login\loading_screen.tsx", "TypeScript JSX", 30, 0, 1, 12, 43
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\login\login_hub.tsx", "TypeScript JSX", 64, 0, 1, 24, 89
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\login\login_screen.tsx", "TypeScript JSX", 155, 0, 1, 48, 204
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\manage_projects\choose_project.tsx", "TypeScript JSX", 284, 0, 6, 102, 392
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\manage_projects\components\edit_text_overlay.tsx", "TypeScript JSX", 134, 0, 1, 29, 164
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\manage_projects\components\options_overlay.tsx", "TypeScript JSX", 97, 0, 12, 36, 145
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\manage_projects\project_row_template.tsx", "TypeScript JSX", 164, 0, 4, 51, 219
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\manage_projects\project_table_template.tsx", "TypeScript JSX", 253, 0, 13, 86, 352
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\manage_projects\project_view.tsx", "TypeScript JSX", 242, 0, 12, 86, 340
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\shared\ad_banner.tsx", "TypeScript JSX", 30, 0, 1, 13, 44
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\shared\app_button.tsx", "TypeScript JSX", 73, 0, 1, 29, 103
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\shared\app_overlay.tsx", "TypeScript JSX", 26, 0, 2, 13, 41
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\shared\content_card.tsx", "TypeScript JSX", 31, 0, 1, 13, 45
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\shared\dropdown.tsx", "TypeScript JSX", 122, 0, 4, 47, 173
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\shared\flash_messages.tsx", "TypeScript JSX", 0, 0, 0, 1, 1
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\shared\homescreen_template.tsx", "TypeScript JSX", 63, 0, 1, 18, 82
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\shared\languages_list.tsx", "TypeScript JSX", 40, 0, 1, 7, 48
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\shared\main_header.tsx", "TypeScript JSX", 60, 0, 1, 24, 85
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\shared\project_dropdown.tsx", "TypeScript JSX", 133, 0, 9, 61, 203
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\shared\slider.tsx", "TypeScript JSX", 61, 0, 1, 32, 94
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\shared\switch.tsx", "TypeScript JSX", 52, 0, 1, 32, 85
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\shared\text_input.tsx", "TypeScript JSX", 152, 0, 1, 47, 200
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\shared\upgrade_banner.tsx", "TypeScript JSX", 39, 0, 3, 11, 53
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\shared\view_full_text.tsx", "TypeScript JSX", 134, 0, 1, 31, 166
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\shared_styles\app_colours.tsx", "TypeScript JSX", 11, 0, 1, 4, 16
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\shared_styles\core_styles.tsx", "TypeScript JSX", 207, 0, 1, 45, 253
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\shared_styles\shadow_settings.tsx", "TypeScript JSX", 19, 0, 1, 5, 25
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\storage\app_settings_storage.tsx", "TypeScript JSX", 335, 0, 17, 212, 564
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\storage\user_profile_details.tsx", "TypeScript JSX", 171, 0, 19, 117, 307
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\types\types.d.tsx", "TypeScript JSX", 162, 0, 1, 47, 210
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\assets\icons\AppIcons\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 1, 0, 0, 1
"Total", "-", 7861, 1, 359, 3084, 11305